marker,t,x,y,z
1,2008-06-20T17:01:00,496474.394198628,6777176.98125076,61.0203297565248
2,2008-06-17T06:09:00,496786.021141069,6777685.85207782,64.7565124351945
2,2008-06-17T06:24:00,496785.93837263,6777685.74475949,64.8022585069237
2,2008-06-17T06:39:00,496785.897140366,6777685.71720167,64.8218981959064
2,2008-06-17T06:54:00,496785.850359932,6777685.64685319,64.8105218495141
2,2008-06-17T07:09:00,496785.751543877,6777685.54748669,64.8555988477052
2,2008-06-17T07:24:00,496785.665073621,6777685.44001833,64.8421793960788
2,2008-06-17T07:39:00,496785.529914488,6777685.33244796,64.8985924380884
2,2008-06-17T07:54:00,496785.461455585,6777685.23009076,64.9367145554592
2,2008-06-17T08:09:00,496785.359375957,6777685.12632574,64.9931432271683
2,2008-06-17T08:24:00,496785.32749129,6777685.02866336,65.0202339403601
2,2008-06-17T08:39:00,496785.207406748,6777684.92015635,65.0325380453518
2,2008-06-17T08:54:00,496785.105563116,6777684.81590593,65.0703810785832
2,2008-06-17T09:09:00,496785.026393584,6777684.70970727,65.1013049112854
2,2008-06-17T09:24:00,496784.880481795,6777684.60105434,65.1465051923306
2,2008-06-17T09:39:00,496784.767954673,6777684.49165914,65.1810776317747
2,2008-06-17T09:54:00,496784.706263454,6777684.39464207,65.237261545859
2,2008-06-17T10:09:00,496784.615926072,6777684.28909335,65.2422944601857
2,2008-06-17T10:24:00,496784.503298771,6777684.18179406,65.2507176362246
2,2008-06-17T10:39:00,496784.368856434,6777684.0712047,65.2704482696342
2,2008-06-17T10:54:00,496784.285776189,6777683.96687805,65.2714815055848
2,2008-06-17T11:09:00,496784.184265879,6777683.86104398,65.2615795410948
2,2008-06-17T11:24:00,496784.078968884,6777683.7555569,65.2959766885368
2,2008-06-17T11:39:00,496783.984620993,6777683.6515446,65.2933302665178
2,2008-06-17T11:54:00,496783.813718394,6777683.53539199,65.2907900992803
2,2008-06-17T12:09:00,496783.759840291,6777683.43684765,65.2623873862335
2,2008-06-17T12:24:00,496783.614788301,6777683.32319939,65.2527296393843
2,2008-06-17T12:39:00,496783.502361955,6777683.21541449,65.272190598681
2,2008-06-17T12:54:00,496783.378441521,6777683.10950401,65.2326797651262
2,2008-06-17T13:09:00,496783.292066525,6777683.00363543,65.1861333376604
2,2008-06-17T13:24:00,496783.150699387,6777682.89103783,65.1503116431547
2,2008-06-17T13:39:00,496783.01310463,6777682.77642021,65.1148917119489
2,2008-06-17T13:54:00,496782.853378327,6777682.66105892,65.0830758447331
2,2008-06-17T14:09:00,496782.752972543,6777682.54928362,64.9997479257451
2,2008-06-17T14:24:00,496782.658779413,6777682.44431097,64.9714370258878
2,2008-06-17T14:39:00,496782.495537323,6777682.32860671,64.9616494588745
2,2008-06-17T14:54:00,496782.376551032,6777682.21683708,64.8782149863432
2,2008-06-17T15:09:00,496782.297495981,6777682.11122754,64.8574843818842
2,2008-06-17T15:24:00,496782.116277668,6777681.99109548,64.8109410945792
2,2008-06-17T15:39:00,496782.001155559,6777681.87886871,64.7571575448327
2,2008-06-17T15:54:00,496781.838193178,6777681.76082065,64.7142249033483
2,2008-06-17T16:09:00,496781.707563642,6777681.65161642,64.6711915050792
2,2008-06-17T16:24:00,496781.614346253,6777681.5422778,64.617429226076
2,2008-06-17T16:39:00,496781.469714341,6777681.42684458,64.5597873440267
2,2008-06-17T16:54:00,496781.346513778,6777681.31856591,64.5536314780559
2,2008-06-17T17:09:00,496781.245474192,6777681.2119624,64.5144023966411
2,2008-06-17T17:24:00,496781.111822888,6777681.09995285,64.4936587663569
2,2008-06-17T17:39:00,496780.908687841,6777680.97690106,64.4323142316879
2,2008-06-17T17:54:00,496780.86221864,6777680.88017846,64.4408136841881
2,2008-06-17T18:09:00,496780.731768893,6777680.77065073,64.4493926741264
2,2008-06-17T18:24:00,496780.619753606,6777680.66258751,64.4394702123149
2,2008-06-17T18:39:00,496780.511196363,6777680.5577967,64.4442427932464
2,2008-06-17T18:54:00,496780.403105742,6777680.44964948,64.4420401111745
2,2008-06-17T19:09:00,496780.30867845,6777680.348521,64.4982636864102
2,2008-06-17T19:24:00,496780.178685341,6777680.237199,64.4736777515978
2,2008-06-17T19:39:00,496780.06298909,6777680.13117863,64.5115838318208
2,2008-06-17T19:54:00,496779.958461473,6777680.02385875,64.5165134820706
2,2008-06-17T20:09:00,496779.882748189,6777679.92234858,64.5103459865039
2,2008-06-17T20:24:00,496779.792230248,6777679.82249811,64.5812136955752
2,2008-06-17T20:39:00,496779.683850112,6777679.71624764,64.5786369659355
2,2008-06-17T20:54:00,496779.597249516,6777679.6153297,64.6016300088094
2,2008-06-17T21:09:00,496779.466897612,6777679.506479,64.6249915629797
2,2008-06-17T21:24:00,496779.398925667,6777679.40457757,64.6114802309702
2,2008-06-18T05:45:00,496775.871095518,6777675.89457049,64.7311125554572
2,2008-06-18T06:00:00,496775.767046874,6777675.78793782,64.754359215606
2,2008-06-18T06:15:00,496775.648528884,6777675.67879926,64.7591277723437
2,2008-06-18T06:30:00,496775.540867641,6777675.57145397,64.7788132818716
2,2008-06-18T06:45:00,496775.437014013,6777675.46373159,64.772644501675
2,2008-06-18T07:00:00,496775.325535427,6777675.35811798,64.8251089065386
2,2008-06-18T07:15:00,496775.246881038,6777675.2557649,64.8446037431088
2,2008-06-18T07:30:00,496775.135483522,6777675.14976768,64.8714478071469
2,2008-06-18T07:45:00,496775.020911995,6777675.03980106,64.8799794621243
2,2008-06-18T08:00:00,496774.938445587,6777674.93727779,64.9252092131951
2,2008-06-18T08:15:00,496774.834724054,6777674.83209874,64.9667195544525
2,2008-06-18T08:30:00,496774.737830463,6777674.72785861,65.0082256471051
2,2008-06-18T08:45:00,496774.64468901,6777674.62361989,65.0496223387269
2,2008-06-18T09:00:00,496774.540866951,6777674.51657996,65.0949136248657
2,2008-06-18T09:15:00,496774.440408129,6777674.41234001,65.1180221798735
2,2008-06-18T09:30:00,496774.354742014,6777674.30839872,65.1742349456719
2,2008-06-18T09:45:00,496774.287321744,6777674.20582799,65.1900960546881
2,2008-06-18T10:00:00,496774.146893954,6777674.09743682,65.2681817185859
2,2008-06-18T10:15:00,496774.072166013,6777673.99383285,65.2840364683444
2,2008-06-18T10:30:00,496773.957525222,6777673.88646971,65.2960976890648
2,2008-06-18T10:45:00,496773.864405574,6777673.78187147,65.34143855604
2,2008-06-18T11:00:00,496773.724444717,6777673.66965073,65.3387791507486
2,2008-06-18T11:15:00,496773.631504428,6777673.56588427,65.3618935881899
2,2008-06-18T11:30:00,496773.509370369,6777673.45813906,65.3777401926795
2,2008-06-18T11:45:00,496773.423789759,6777673.35347626,65.393559715582
2,2008-06-18T12:00:00,496773.312837828,6777673.24710179,65.3873724938849
2,2008-06-18T12:15:00,496773.220013697,6777673.14193683,65.3848191314842
2,2008-06-18T12:30:00,496773.112463486,6777673.03720311,65.4006099499092
2,2008-06-18T12:45:00,496772.990752742,6777672.92698362,65.3797672564287
2,2008-06-18T13:00:00,496772.865138209,6777672.81712772,65.3479276511991
2,2008-06-18T13:15:00,496772.750418344,6777672.71056834,65.3491155834304
2,2008-06-18T13:30:00,496772.642924204,6777672.60491578,65.3390949997197
2,2008-06-18T13:45:00,496772.489034802,6777672.48776557,65.2745891088322
2,2008-06-18T14:00:00,496772.374707028,6777672.37781822,65.2501069517002
2,2008-06-18T14:15:00,496772.25292603,6777672.26975682,65.2146571066523
2,2008-06-18T14:30:00,496772.120662428,6777672.15668871,65.1609316134984
2,2008-06-18T14:45:00,496772.017345095,6777672.04846375,65.1402768649293
2,2008-06-18T15:00:00,496771.881344864,6777671.93565607,65.082960295542
2,2008-06-18T15:15:00,496771.716254484,6777671.81931148,65.036565855602
2,2008-06-18T15:30:00,496771.616725421,6777671.7101106,64.9793441587415
2,2008-06-18T15:45:00,496771.495694838,6777671.59745818,64.9147676433892
2,2008-06-18T16:00:00,496771.309005816,6777671.4767975,64.8648981095877
2,2008-06-18T16:15:00,496771.213290229,6777671.36738485,64.8039147134177
2,2008-06-18T16:30:00,496771.044901447,6777671.25057045,64.7686243736188
2,2008-06-18T16:45:00,496770.909271474,6777671.13608439,64.7003734575975
2,2008-06-18T17:00:00,496770.798791121,6777671.02583344,64.6725625188435
2,2008-06-18T17:15:00,496770.684890158,6777670.91630903,64.6114759672257
2,2008-06-18T17:30:00,496770.523601346,6777670.79982678,64.5651699745644
2,2008-06-18T17:45:00,496770.438678009,6777670.6948798,64.5408423680591
2,2008-06-18T18:00:00,496770.299224792,6777670.58165946,64.5165451574497
2,2008-06-18T19:16:00,496769.714719,6777670.01354241,64.4577031278484
2,2008-06-18T19:32:00,496769.662101926,6777669.91536315,64.4552794072805
2,2008-06-18T19:47:00,496769.547738687,6777669.81014856,64.4855592423953
2,2008-06-18T20:03:00,496769.434441748,6777669.69571283,64.5018456861496
2,2008-06-18T20:16:00,496769.337012776,6777669.60086913,64.5206337592209
2,2008-06-18T20:32:00,496769.255256333,6777669.49899432,64.5364885115431
2,2008-06-18T20:53:00,496769.1028687,6777669.34897573,64.550675110258
2,2008-06-18T21:01:00,496769.022663507,6777669.28763475,64.582556631329
2,2008-06-18T21:16:00,496768.948107568,6777669.1887645,64.6164713544675
2,2008-06-18T21:32:00,496768.852047051,6777669.08480289,64.6321877779037
2,2008-06-18T22:02:00,496768.681011942,6777668.88428583,64.7073537606866
2,2008-06-18T22:17:00,496768.591897612,6777668.78229809,64.7414405786878
2,2008-06-18T22:32:00,496768.473936413,6777668.6772491,64.7862602644699
2,2008-06-18T22:47:00,496768.388337281,6777668.5778542,64.8311532602322
2,2008-06-18T23:02:00,496768.314026348,6777668.47689949,64.8176394017559
2,2008-06-18T23:17:00,496768.206834932,6777668.37317686,64.8589054137178
2,2008-06-18T23:32:00,496768.106969037,6777668.2713871,64.907226843427
2,2008-06-18T23:47:00,496768.025279981,6777668.17013235,64.926701793796
2,2008-06-19T00:02:00,496767.918074795,6777668.06771043,64.9459103970592
2,2008-06-19T00:17:00,496767.800340769,6777667.96084662,64.9580345123488
2,2008-06-19T00:32:00,496767.707753994,6777667.85879963,64.9736467203702
2,2008-06-19T00:47:00,496767.640565122,6777667.7607219,64.9856888798494
2,2008-06-19T01:01:00,496767.493713278,6777667.65022848,64.9902795035531
2,2008-06-19T01:17:00,496767.415914216,6777667.55020613,64.994974639758
2,2008-06-19T01:32:00,496767.283386827,6777667.4430583,65.0142292682797
2,2008-06-19T01:47:00,496767.198153812,6777667.34215274,65.0227271718111
2,2008-06-19T02:02:00,496767.058958457,6777667.23163738,64.9981745080747
2,2008-06-19T02:17:00,496766.977504374,6777667.13055139,65.0028969585455
2,2008-06-19T02:32:00,496766.834966084,6777667.01762045,64.9712171845113
2,2008-06-19T02:47:00,496766.72444553,6777666.9125228,64.9613332732024
2,2008-06-19T03:02:00,496766.621351201,6777666.8077009,64.936896869556
2,2008-06-19T03:17:00,496766.496658753,6777666.69960397,64.9379796081115
2,2008-06-19T03:32:00,496766.372152705,6777666.59033782,64.917299671594
2,2008-06-19T03:47:00,496766.276342756,6777666.48513442,64.8855841519376
2,2008-06-19T04:02:00,496766.177203108,6777666.37913338,64.8575702442665
2,2008-06-19T04:17:00,496766.030890669,6777666.26645972,64.8332305316311
2,2008-06-19T04:31:00,496765.916913753,6777666.16115823,64.8488439742649
2,2008-06-19T04:47:00,496765.82145706,6777666.05575041,64.8317440049431
2,2008-06-19T05:02:00,496765.751236622,6777665.95524502,64.8001237059356
2,2008-06-19T05:17:00,496765.616026053,6777665.84352115,64.7830567038571
2,2008-06-19T05:32:00,496765.527329341,6777665.74219653,64.7768388857312
2,2008-06-19T05:47:00,496765.384891451,6777665.62919181,64.7561076705749
2,2008-06-19T06:01:00,496765.285780009,6777665.52378898,64.768292830145
2,2008-06-19T06:17:00,496765.182853731,6777665.4200146,64.8021719782761
2,2008-06-19T06:32:00,496765.079550048,6777665.3170964,64.8250938829865
2,2008-06-19T06:47:00,496764.970250327,6777665.20708663,64.7898795479979
2,2008-06-19T07:02:00,496764.848986405,6777665.10079884,64.82742089352
2,2008-06-19T07:16:00,496764.774729201,6777665.00228811,64.8722668927412
2,2008-06-19T07:32:00,496764.646610325,6777664.89307775,64.884286565409
2,2008-06-19T07:47:00,496764.576367485,6777664.79364457,64.9109472255974
2,2008-06-19T08:02:00,496764.466168226,6777664.68844999,64.9302447331878
2,2008-06-19T08:17:00,496764.374164111,6777664.58618355,64.9823595060092
2,2008-06-19T08:32:00,496764.249355454,6777664.4801926,65.0454418903436
2,2008-06-19T08:47:00,496764.172037593,6777664.37856902,65.0793712339034
2,2008-06-19T09:02:00,496764.116555371,6777664.27947236,65.0915355128151
2,2008-06-19T09:17:00,496763.992425402,6777664.17005756,65.1182850691896
2,2008-06-19T09:32:00,496763.881978559,6777664.06621188,65.192109509371
2,2008-06-19T09:47:00,496763.832939151,6777663.9732201,65.2622851401109
2,2008-06-19T10:02:00,496763.71573602,6777663.86669677,65.2961416906991
2,2008-06-19T10:17:00,496763.641930002,6777663.76605901,65.3301524156542
2,2008-06-19T10:32:00,496763.503114897,6777663.65761284,65.3783736843803
2,2008-06-19T10:47:00,496763.440396442,6777663.55673831,65.3687659837302
2,2008-06-19T11:02:00,496763.337643875,6777663.45261913,65.3990504954224
2,2008-06-19T11:17:00,496763.213194135,6777663.34527888,65.429201202573
2,2008-06-19T11:32:00,496763.142628128,6777663.24829553,65.4664400316851
2,2008-06-19T11:47:00,496763.029125707,6777663.14258369,65.4784734674489
2,2008-06-19T12:02:00,496762.915066217,6777663.04073995,65.5450162089053
2,2008-06-19T12:17:00,496762.798266753,6777662.93237713,65.4987679694769
2,2008-06-19T12:32:00,496762.699323115,6777662.82821818,65.4815704847992
2,2008-06-19T12:47:00,496762.592912345,6777662.72524463,65.4788172335918
2,2008-06-19T13:02:00,496762.489772033,6777662.62359713,65.5198372553701
2,2008-06-19T13:17:00,496762.379906419,6777662.51903188,65.4881478105018
2,2008-06-19T13:32:00,496762.277237643,6777662.41528642,65.4707731299908
2,2008-06-19T13:47:00,496762.182217158,6777662.31020643,65.4173289321441
2,2008-06-19T14:02:00,496762.072011227,6777662.20732476,65.4182182013762
2,2008-06-19T14:17:00,496761.933703503,6777662.09528608,65.3648113605492
2,2008-06-19T14:32:00,496761.820469466,6777661.98975969,65.32568955484
2,2008-06-19T14:47:00,496761.713982425,6777661.88628093,65.3339880099138
2,2008-06-19T15:02:00,496761.568554403,6777661.77247819,65.2405077941107
2,2008-06-19T15:17:00,496761.43784232,6777661.66161401,65.1797790367975
2,2008-06-19T15:32:00,496761.310180502,6777661.55177861,65.1299093190451
2,2008-06-19T15:47:00,496761.182738204,6777661.44236646,65.0874976523889
2,2008-06-19T16:02:00,496761.055403226,6777661.33235006,65.0339808275919
2,2008-06-19T16:17:00,496760.935228174,6777661.22338806,64.9804712073407
2,2008-06-19T16:32:00,496760.793954715,6777661.10917552,64.8981111302744
2,2008-06-19T16:47:00,496760.65516237,6777660.99979832,64.8700488120552
2,2008-06-19T17:02:00,496760.57103786,6777660.89858988,64.8419903784456
2,2008-06-19T17:17:00,496760.447797273,6777660.78572255,64.7450475318044
2,2008-06-19T17:32:00,496760.31283802,6777660.67767065,64.7315049887408
2,2008-06-19T17:47:00,496760.164122381,6777660.56324946,64.6673503822799
2,2008-06-19T18:02:00,496760.050977782,6777660.4577346,64.6501838705128
2,2008-06-19T18:17:00,496759.963213333,6777660.35472043,64.6185457739607
2,2008-06-19T18:47:00,496759.725987827,6777660.14190503,64.5733586695721
2,2008-06-19T19:02:00,496759.623437683,6777660.04043726,64.5924884626294
2,2008-06-19T19:17:00,496759.474528392,6777659.92800502,64.53912862322
2,2008-06-19T19:32:00,496759.39401826,6777659.82660515,64.5547639451926
2,2008-06-19T19:47:00,496759.234045764,6777659.71475984,64.5522414522837
2,2008-06-19T20:02:00,496759.170986165,6777659.61920407,64.5713700909039
2,2008-06-19T20:16:00,496759.032562372,6777659.51069774,64.5433044249553
2,2008-06-19T20:31:00,496758.966287132,6777659.41374579,64.5552779680571
2,2008-06-19T20:47:00,496758.842326139,6777659.30715837,64.5781682495142
2,2008-06-19T21:02:00,496758.746678478,6777659.20814167,64.6336147850619
2,2008-06-19T21:17:00,496758.651862344,6777659.10546047,64.6201256660444
2,2008-06-19T21:32:00,496758.563785772,6777659.00564842,64.6682045495074
2,2008-06-19T21:47:00,496758.472283389,6777658.90314125,64.6767265471849
2,2008-06-19T22:02:00,496758.402184039,6777658.8073563,64.7211929598648
2,2008-06-19T22:17:00,496758.271129403,6777658.70002476,64.751247867951
2,2008-06-19T22:32:00,496758.179740706,6777658.59876904,64.8104850919864
2,2008-06-19T22:47:00,496758.095328894,6777658.49879567,64.8369820940732
2,2008-06-19T23:02:00,496758.022133059,6777658.4001166,64.8561686575622
2,2008-06-19T23:17:00,496757.873324416,6777658.28874729,64.8717534985271
2,2008-06-19T23:32:00,496757.821420039,6777658.19318068,64.8982709385456
2,2008-06-19T23:47:00,496757.719034765,6777658.09142141,64.9610855664688
2,2008-06-20T00:02:00,496757.577332985,6777657.9815794,64.9948255701387
2,2008-06-20T00:17:00,496757.496769812,6777657.88293358,65.0357878214057
2,2008-06-20T00:32:00,496757.405708238,6777657.78019055,65.040375399718
2,2008-06-20T00:47:00,496757.325115716,6777657.68014431,65.0560243452362
2,2008-06-20T01:02:00,496757.233606206,6777657.57963177,65.0751403608643
2,2008-06-20T01:17:00,496757.099148466,6777657.47146391,65.083325042903
2,2008-06-20T01:32:00,496757.022528089,6777657.3708111,65.07718918289
2,2008-06-20T01:47:00,496756.873466369,6777657.26130216,65.0927809671257
2,2008-06-20T02:02:00,496756.760661827,6777657.1556947,65.0973400978296
2,2008-06-20T02:17:00,496756.626460442,6777657.04714806,65.0803021972159
2,2008-06-20T02:32:00,496756.568026493,6777656.94833777,65.0668947741375
2,2008-06-20T02:47:00,496756.430030311,6777656.84055046,65.0933346987014
2,2008-06-20T03:02:00,496756.313885489,6777656.73292077,65.0617526423646
2,2008-06-20T03:17:00,496756.229739364,6777656.63356018,65.0735354202619
2,2008-06-20T03:32:00,496756.132067716,6777656.52744978,65.0276460825146
2,2008-06-20T03:46:00,496755.99761756,6777656.42028123,65.0285840004035
2,2008-06-20T04:02:00,496755.859793081,6777656.31104543,65.0477750813527
2,2008-06-20T04:17:00,496755.754841682,6777656.2034733,65.0054431899076
2,2008-06-20T04:32:00,496755.63519835,6777656.09594205,64.9775035121402
2,2008-06-20T04:46:00,496755.537118501,6777655.99210988,64.9568659406399
2,2008-06-20T05:02:00,496755.407139967,6777655.87964881,64.9146028381073
2,2008-06-20T05:17:00,496755.294251081,6777655.77758584,64.9589700253551
2,2008-06-20T05:32:00,496755.160589563,6777655.6660468,64.9166322480725
2,2008-06-20T05:47:00,496755.077225233,6777655.56333371,64.8850876913332
2,2008-06-20T06:01:00,496754.997106203,6777655.46197637,64.8970131662637
2,2008-06-20T06:17:00,496754.841888348,6777655.34715632,64.8838210995191
2,2008-06-20T06:32:00,496754.761910732,6777655.24591627,64.888554618086
2,2008-06-20T06:47:00,496754.653154881,6777655.1399358,64.8786718895226
2,2008-06-20T07:02:00,496754.541022106,6777655.03363083,64.872568261317
2,2008-06-20T07:17:00,496754.428109572,6777654.93075796,64.9314591419358
2,2008-06-20T07:32:00,496754.343940351,6777654.8321281,64.9869578667158
2,2008-06-20T07:47:00,496754.221375368,6777654.72166595,64.9626985111761
2,2008-06-20T08:02:00,496754.148177924,6777654.62499549,65.0325418912272
2,2008-06-20T08:17:00,496754.043134691,6777654.51951982,65.0409416077307
2,2008-06-20T08:32:00,496753.944795878,6777654.4178445,65.0999931774439
2,2008-06-20T08:47:00,496753.861673482,6777654.31455566,65.0866449791312
2,2008-06-20T09:02:00,496753.745966165,6777654.20728672,65.1022293656383
2,2008-06-20T09:17:00,496753.676864136,6777654.10761108,65.1432530325197
2,2008-06-20T09:32:00,496753.582434482,6777654.00580128,65.1986691659881
2,2008-06-20T09:47:00,496753.481158971,6777653.90044361,65.2180478669692
2,2008-06-20T10:02:00,496753.408130284,6777653.80241302,65.2914446171044
2,2008-06-20T10:17:00,496753.29629471,6777653.69536766,65.3288325922499
2,2008-06-20T10:32:00,496753.201881293,6777653.59293185,65.3734251522296
2,2008-06-20T10:47:00,496753.115031661,6777653.48957477,65.3890171585272
2,2008-06-20T11:02:00,496753.028015022,6777653.38736969,65.4263411831497
2,2008-06-20T11:17:00,496752.898144774,6777653.27758419,65.456400796766
2,2008-06-20T11:32:00,496752.796686322,6777653.17401366,65.5009780422403
2,2008-06-20T11:47:00,496752.706115285,6777653.07195633,65.5237676210438
2,2008-06-20T12:02:00,496752.633142874,6777652.9733122,65.5683103597232
2,2008-06-20T12:17:00,496752.52110651,6777652.86828207,65.5982502775311
2,2008-06-20T12:32:00,496752.408836669,6777652.76314836,65.5992258052609
2,2008-06-20T12:47:00,496752.293457853,6777652.65600231,65.600281847367
2,2008-06-20T13:02:00,496752.228207952,6777652.55647702,65.5976960523021
2,2008-06-20T13:17:00,496752.080155032,6777652.44622716,65.5986463649914
2,2008-06-20T13:32:00,496751.978719843,6777652.34236245,65.5926002492797
2,2008-06-20T13:47:00,496751.888399802,6777652.24021346,65.5862952648951
2,2008-06-20T14:02:00,496751.751271714,6777652.12975202,65.5620446456317
2,2008-06-20T14:17:00,496751.657126875,6777652.02772222,65.5413584736884
2,2008-06-20T14:32:00,496751.537974467,6777651.9208627,65.513420079297
2,2008-06-20T14:47:00,496751.386728202,6777651.80887401,65.4746666439319
2,2008-06-20T15:02:00,496751.286255686,6777651.7011144,65.4142093233572
2,2008-06-20T15:17:00,496751.159770226,6777651.59328579,65.3718006653706
2,2008-06-20T15:32:00,496751.026543723,6777651.48304277,65.3512417433044
2,2008-06-20T15:47:00,496750.925773039,6777651.37663088,65.2799083742472
2,2008-06-20T16:02:00,496750.778218248,6777651.2644344,65.2375707993781
2,2008-06-20T16:17:00,496750.685020324,6777651.15796266,65.1809190858067
2,2008-06-20T16:32:00,496750.533735539,6777651.04534532,65.1422329115926
2,2008-06-20T16:47:00,496750.390175337,6777650.93163102,65.0709593573381
2,2008-06-20T17:02:00,496750.300069639,6777650.82763023,65.0142227265251
